X,Y,scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,website,NATSCALE,LABELRANK,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPALT,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,CITYALT,HEX_ID,CONTINENT,adm1_id,adm1_name,adm1_type_,av_temp,av_prec,elev,landcover,city_id
-179.1837224648,66.3221316562,7,Populated place,0,Egvekinot,0,0,0,0,0,0,0,20,2,,,0,Egvekinot,0,0,,0,0,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,,66.32213,-179.18372,4,0,Location adjusted. Population from GeoNames.,2248,2248,0,4,4,4031742,,Egvekinot,0,Egvekinot,P,PPL,15,2248,0,442,Asia/Anadyr,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,3,Asia,3417,Chukchi Autonomous Okrug,Autonomous Province,-93,369,,7,6159
-179.4999843771,68.933710957,7,Populated place,0,Mys Shmidta,0,0,0,0,0,0,0,20,2,,,0,Mys Shmidta,0,0,,0,0,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,,68.93371,-179.49998,0,0,,492,492,0,2,2,-1,,Mys Shmidta,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,3,Asia,3417,Chukchi Autonomous Okrug,Autonomous Province,-117,293,,0,6158
-179.589978884,70.9565848991,8,Populated place,0,Zvezdnyy,0,0,0,0,0,0,0,10,2,,,0,Zvezdnyy,0,0,,0,0,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,,70.95658,-179.58998,0,0,,10,10,0,1,1,-1,,Zvezdnyy,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,3,Asia,3417,Chukchi Autonomous Okrug,Autonomous Province,-125,164,,10,6157
-175.2205644776,-21.1385123567,3,Admin-0 capital,0,Nukualofa,0,0,0,0,0,0,0,110,0,,,0,Nukualofa,1,0,,0,0,Tonga,TON,Tonga,TON,,TO,,-21.13851,-175.22056,4,0,Location adjusted.,42620,23658,42620,7,7,4032402,,Nukualofa,1,Nuku`alofa,P,PPLC,2,22400,0,-9999,Pacific/Tongatapu,GeoNames match general.,0,,0,0,,12,Oceania,4060,Tongatapu,,237,1701,9,14,7238
-175.135635,-21.24861,4,Airport,mid,Fua'amotu Int'l,TBU,terminal,NFTF,TBU,http://en.wikipedia.org/wiki/Fua'amotu_International_Airport,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Oceania,4060,Tongatapu,,236,1510,35,14,7237
-176.3695787214,-44.0262533597,8,Admin-1 capital,0,Waitangi,0,0,0,0,0,0,0,10,8,,,0,Waitangi,0,0,,0,0,New Zealand,NZL,Chatham Islands,NZL,Chatham Is. aggregation,NZ,,-44.02625,-176.36958,0,0,,300,300,0,0,0,4032804,,,0,,,,0,300,0,0,Pacific/Auckland,,0,,0,0,,14,Oceania,3062,Chatham Islands Territory,Special Island Authority,109,963,28,10,5678
-165.406374351,64.5061000764,3,Populated place,0,Nome,0,0,0,0,0,0,0,110,1,,,0,Nome,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,64.5061,-165.40637,0,0,,3485,2557,2450,4,4,5870133,,Nome,1,Nome,P,PPL,0,3485,6,0,America/Juneau,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,24,North America,4458,Alaska,State,-37,412,,10,8499
-173.2257937033,64.4234952994,6,Populated place,0,Provideniya,0,0,0,0,0,0,0,30,2,,,0,Provideniya,0,0,,0,0,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,,64.4235,-173.22579,1,0,Changed scale rank.,2536,957,957,4,2,4031574,,Provideniya,1,Provideniya,P,PPL,0,2536,0,346,Asia/Anadyr,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,24,Asia,3417,Chukchi Autonomous Okrug,Autonomous Province,-46,627,,16,6162
-169.810583497,66.154139309,6,Populated place,0,Uelen,0,0,0,0,0,0,0,30,2,,"Whalen, Ugelen",0,Uelen,0,0,,0,0,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,,66.15414,-169.81058,1,0,Changed scale rank.,776,776,0,2,2,-1,,Uelen,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,24,Asia,3417,Chukchi Autonomous Okrug,Autonomous Province,-83,344,,10,6163
-171.7310787375,63.7797103059,6,Populated place,0,Gambell,0,0,0,0,0,0,0,30,1,,,0,Gambell,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,63.77971,-171.73108,1,0,Changed scale rank.,681,681,0,2,2,-1,,Gambell,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,24,Asia,4458,Alaska,State,-41,432,,10,8494
